Topic Id,Top Words...
0,2006 819 pontiac 2007 ca day 4 ottawa team www bay year mclean school time quebec people lake wilbur place
1,day june july 4 2004 2 2005 1 ottawa birthday bay 3 great week family 5 6 time anniversary 7
2,1 april 2003 4 2 2002 000 3 5 0 613 shawville pontiac day ottawa call 6 quebec 819 years
3,march lot la taxes de en part par range north feet mar le rang east hundred south distance west ou
4,fair 1 4 shawville wedding show pm horse 00 3 september 9 page day 2 5 special 6 champion year
5,4 2000 2001 00 2 3 pm shawville 9 7 1 5 ottawa bay day bristol moved 6 sunday 647
6,sept oct de october 4 2 la 1 0 september 6 le 5 3 10 seat november municipality par 00
7,de la des le les du en 1 qu au pour pontiac une bec 4 dans 2 est pr qui
8,2 4 3 1 0 christmas 5 6 dec 8 7 pontiacs nov feb january game jan december 9 february
9,1 shawville pontiac 647 year equity 819 30 00 9 time home st years 8 quebec 10 good friday service
